doc_id,book_num,stanza_num,stanza_str
100,1,1,"Jove sends a lying dream to Agamemnon, who thereon calls the"
100,1,2,"chiefs in assembly, and proposes to sound the mind of his army — In"
100,1,3,the end they march to fight — Catalogue of the Achaean and Trojan
100,1,4,forces.
100,1,5,Now the other gods and the armed warriors on the plain slept
100,1,6,"soundly, but Jove was wakeful, for he was thinking how to do"
100,1,7,"honour to Achilles, and destroyed much people at the ships of the"
100,1,8,Achaeans. In the end he deemed it would be best to send a lying
100,1,9,"dream to King Agamemnon; so he called one to him and said to it,"
100,1,10,"“Lying Dream, go to the ships of the Achaeans, into the tent of"
100,1,11,"Agamemnon, and say to him word for word as I now bid you. Tell"
100,1,12,"him to get the Achaeans instantly under arms, for he shall take"
100,1,13,Troy. There are no longer divided counsels among the gods; Juno
100,1,14,"has brought them to her own mind, and woe betides the Trojans.”"
100,1,15,"The dream went when it had heard its message, and soon reached"
100,1,16,the ships of the Achaeans. It sought Agamemnon son of Atreus and
100,1,17,"found him in his tent, wrapped in a profound slumber. It hovered"
100,1,18,"over his head in the likeness of Nestor, son of Neleus, whom"
100,1,19,"Agamemnon honoured above all his councillors, and said: —"
100,1,20,"“You are sleeping, son of Atreus; one who has the welfare of his"
100,1,21,host and so much other care upon his shoulders should dock his
100,1,22,"sleep. Hear me at once, for I come as a messenger from Jove, who,"
100,1,23,"though he be not near, yet takes thought for you and pities you."
100,1,24,"He bids you get the Achaeans instantly under arms, for you shall"
100,1,25,take Troy. There are no longer divided counsels among the gods;
100,1,26,"Juno has brought them over to her own mind, and woe betides the"
100,1,27,"Trojans at the hands of Jove. Remember this, and when you wake"
100,1,28,see that it does not escape you.”
100,1,29,"The dream then left him, and he thought of things that were"
100,1,30,surely not to be accomplished. He thought that on that same day
100,1,31,"he was to take the city of Priam, but he little knew what was in"
100,1,32,"the mind of Jove, who had many another hard - fought fight in store"
100,1,33,"alike for Danaans and Trojans. Then presently he woke, with the"
100,1,34,"divine message still ringing in his ears; so he sat upright, and"
100,1,35,"put on his soft shirt so fair and new, and over this his heavy"
100,1,36,"cloak. He bound his sandals on to his comely feet, and slung his"
100,1,37,silver - studded sword about his shoulders; then he took the
100,1,38,"imperishable staff of his father, and sallied forth to the ships"
100,1,39,of the Achaeans.
100,1,40,The goddess Dawn now wended her way to vast Olympus that she
100,1,41,"might herald day to Jove and to the other immortals, and"
100,1,42,Agamemnon sent the criers round to call the people in assembly;
100,1,43,so they called them and the people gathered thereon. But first he
100,1,44,summoned a meeting of the elders at the ship of Nestor king of
100,1,45,"Pylos, and when they were assembled he laid a cunning counsel"
100,1,46,before them.
100,1,47,"“My friends,” said he, “I have had a dream from heaven in the"
100,1,48,"dead of night, and its face and figure resembled none but"
100,1,49,"Nestor’s. It hovered over my head and said, ‘You are sleeping,"
100,1,50,son of Atreus; one who has the welfare of his host and so much
100,1,51,other care upon his shoulders should dock his sleep. Hear me at
100,1,52,"once, for I am a messenger from Jove, who, though he be not near,"
100,1,53,yet takes thought for you and pities you. He bids you get the
100,1,54,"Achaeans instantly under arms, for you shall take Troy. There are"
100,1,55,no longer divided counsels among the gods; Juno has brought them
100,1,56,"over to her own mind, and woe betides the Trojans at the hands of"
100,1,57,Jove. Remember this.’ The dream then vanished and I awoke. Let us
100,1,58,"now, therefore, arm the sons of the Achaeans. But it will be well"
100,1,59,"that I should first sound them, and to this end I will tell them"
100,1,60,to fly with their ships; but do you others go about among the
100,1,61,host and prevent their doing so.”
100,1,62,"He then sat down, and Nestor the prince of Pylos with all"
100,1,63,"sincerity and goodwill addressed them thus: “My friends,” said"
100,1,64,"he, “princes and councillors of the Argives, if any other man of"
100,1,65,the Achaeans had told us of this dream we should have declared it
100,1,66,"false, and would have had nothing to do with it. But he who has"
100,1,67,seen it is the foremost man among us; we must therefore set about
100,1,68,getting the people under arms.”
100,1,69,"With this he led the way from the assembly, and the other"
100,1,70,sceptred kings rose with him in obedience to the word of
100,1,71,Agamemnon; but the people pressed forward to hear. They swarmed
100,1,72,like bees that sally from some hollow cave and flit in countless
100,1,73,"throng among the spring flowers, bunched in knots and clusters;"
100,1,74,even so did the mighty multitude pour from ships and tents to the
100,1,75,"assembly, and range themselves upon the wide - watered shore, while"
100,1,76,"among them ran Wildfire Rumour, messenger of Jove, urging them"
100,1,77,ever to the fore. Thus they gathered in a pell - mell of mad
100,1,78,"confusion, and the earth groaned under the tramp of men as the"
100,1,79,people sought their places. Nine heralds went crying about among
